Month,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,FlightNum,TailNum,ElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
1,3,4,2003,2211,WN,335,N712SW,128,116,-14,8,IAD,TPA,810,4,8,0,,0
1,9,3,1338,1451,WN,1338,N452WN,73,64,-9,-2,PVD,PHL,238,3,6,0,,0
1,12,6,1405,1524,WN,26,N358SW,79,66,9,15,DAL,MCI,461,4,9,0,,0
1,15,2,1132,1222,WN,1544,N726SW,230,219,-18,2,IND,LAS,1591,4,7,0,,0
1,20,7,1533,1710,WN,1620,N607SW,97,86,5,13,STL,DAL,546,2,9,0,,0
1,26,6,738,831,WN,334,N727SW,113,94,-9,-2,IAD,MDW,577,8,11,0,,0
1,30,3,757,906,WN,1355,N494WN,69,52,-9,-3,OAK,LAX,337,8,9,0,,0
1,31,4,636,705,WN,3518,N357SW,89,76,-5,-4,TUS,LAX,451,4,9,0,,0
1,31,4,1946,2011,WN,3770,N233LV,85,73,1,11,TUS,LAX,451,5,7,0,,0
1,15,2,1400,1611,XE,2401,N12122,131,86,12,0,MHT,CLE,544,12,33,0,,0
1,20,7,1204,1412,XE,3052,N13936,128,91,0,-6,EWR,DTW,487,10,27,0,,0
1,31,4,612,744,XE,3098,N13118,92,71,-18,-3,EWR,RDU,416,5,16,0,,0
1,19,6,1855,2043,XE,3002,N26545,108,90,-12,0,IAH,STL,668,6,12,0,,0
1,15,2,1255,1411,XE,2591,N14959,136,107,7,1,IAH,ABQ,744,18,11,0,,0
1,17,4,824,1051,XE,2242,N26141,207,191,23,-6,RDU,IAH,1043,8,8,0,,0
1,1,2,1110,1303,XE,2679,N21129,113,99,18,20,EWR,MYR,550,3,11,0,,0
1,1,2,2000,2120,YV,2658,N932LR,80,47,-4,-8,ATL,CLT,227,10,23,0,,0
1,1,2,900,1032,YV,7366,N519LR,92,68,-15,0,ATL,IAD,533,7,17,0,,0
1,2,3,1259,1404,YV,7196,N75991,65,49,94,96,CWA,ORD,213,10,6,0,,0
1,3,4,1005,1024,YV,7225,N77331,79,63,262,245,FWA,ORD,157,11,5,0,,0
